Film,Année,Catégorie,Genre,Durée (min),Metascore,Score imdb,Nb votes,CA(gross)
The Dark Knight: Le chevalier noir,2008,Tous publics,"['Action', 'Crime', 'Drama']",152,84,90.0,2266354,534858444
Inception,2010,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",148,74,88.0,2028429,292576195
Le Seigneur des anneaux : La Communauté de l'anneau,2001,Tous publics,"['Action', 'Adventure', 'Drama']",178,92,88.0,1633976,315544750
Le Seigneur des anneaux : Le Retour du roi,2003,Tous publics,"['Action', 'Adventure', 'Drama']",201,94,89.0,1618154,377845905
The Dark Knight Rises,2012,Tous publics,"['Action', 'Adventure']",164,78,84.0,1494684,448139099
Interstellar,2014,Tous publics,"['Adventure', 'Drama', 'Sci-Fi']",169,74,86.0,1474195,188020017
Le Seigneur des anneaux : Les Deux Tours,2002,Tous publics,"['Action', 'Adventure', 'Drama']",179,87,87.0,1462648,342551365
Django Unchained,2012,12,"['Drama', 'Western']",165,81,84.0,1332595,162805434
Gladiator,2000,Tous publics avec avertissement,"['Action', 'Adventure', 'Drama']",155,67,85.0,1320357,187705427
Batman Begins,2005,Tous publics,"['Action', 'Adventure']",140,70,82.0,1290136,206852432
Avengers,2012,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",143,69,80.0,1248331,623279547
Inglourious Basterds,2009,12,"['Adventure', 'Drama', 'War']",153,69,83.0,1243526,120540719
Les infiltrés,2006,Tous publics avec avertissement,"['Crime', 'Drama', 'Thriller']",151,85,85.0,1170672,132384315
Le prestige,2006,Tous publics,"['Drama', 'Mystery', 'Sci-Fi']",130,66,85.0,1168515,53089891
Le loup de Wall Street,2013,12,"['Biography', 'Crime', 'Drama']",180,75,82.0,1156866,116900694
Memento,2000,Tous publics,"['Mystery', 'Thriller']",113,80,84.0,1109761,25544867
Shutter Island,2010,12,"['Mystery', 'Thriller']",138,63,82.0,1108807,128012934
Avatar,2009,Tous publics,"['Action', 'Adventure', 'Fantasy']",162,83,78.0,1107688,760507625
Les Gardiens de la Galaxie,2014,Tous publics,"['Action', 'Adventure', 'Comedy']",121,76,80.0,1030673,333176600
V pour vendetta,2005,Tous publics avec avertissement,"['Action', 'Drama', 'Sci-Fi']",132,62,82.0,1018691,70511035
Pirates des Caraïbes : La Malédiction du Black Pearl,2003,Tous publics,"['Action', 'Adventure', 'Fantasy']",143,63,80.0,1006409,305413918
Kill Bill: Volume I,2003,16,"['Action', 'Crime', 'Thriller']",111,69,81.0,986258,70099045
WALL·E,2008,Tous publics,"['Animation', 'Adventure', 'Family']",98,95,84.0,983720,223808164
Le monde de Nemo,2003,Tous publics,"['Animation', 'Adventure', 'Comedy']",100,90,81.0,936049,380843261
Iron Man,2008,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",126,79,79.0,927423,318412101
Là-haut,2009,Tous publics,"['Animation', 'Adventure', 'Comedy']",96,88,82.0,920278,293004164
Eternal Sunshine of the Spotless Mind,2004,Tous publics,"['Drama', 'Romance', 'Sci-Fi']",108,89,83.0,898634,34400301
Joker,2019,12 avec avertissement,"['Crime', 'Drama', 'Thriller']",122,59,85.0,890688,335451311
Deadpool,2016,12,"['Action', 'Adventure', 'Comedy']",108,65,80.0,889370,363070709
Mad Max: Fury Road,2015,Tous publics avec avertissement,"['Action', 'Adventure', 'Sci-Fi']",120,90,81.0,865875,154058340
Star Wars: Épisode VII - Le Réveil de la Force,2015,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",138,80,79.0,850207,936662225
Gone Girl,2014,Tous publics avec avertissement,"['Drama', 'Mystery', 'Thriller']",149,79,81.0,843033,167767189
"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme",2007,12,"['Crime', 'Drama', 'Thriller']",122,91,81.0,840922,74283625
Hunger Games,2012,Tous publics avec avertissement,"['Action', 'Adventure', 'Sci-Fi']",142,68,72.0,836302,408010692
Un homme d'exception,2001,Tous publics,"['Biography', 'Drama']",135,72,82.0,835557,170742341
Arrête-moi si tu peux,2002,Tous publics,"['Biography', 'Crime', 'Drama']",141,75,81.0,811549,164615351
Avengers: Infinity War,2018,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",149,68,84.0,810555,678815482
Monstres & Cie,2001,Tous publics,"['Animation', 'Adventure', 'Comedy']",92,79,80.0,802772,289916256
Slumdog Millionaire,2008,Tous publics,"['Drama', 'Romance']",120,84,80.0,790659,141319928
Avengers: Endgame,2019,Tous publics,"['Action', 'Adventure', 'Drama']",181,78,84.0,776947,858373000
Snatch - Tu braques ou tu raques,2000,Tous publics,"['Comedy', 'Crime']",104,55,83.0,772296,30328156
Gravity,2013,Tous publics,"['Drama', 'Sci-Fi', 'Thriller']",91,96,77.0,760762,274092705
Requiem for a Dream,2000,12,['Drama'],102,68,83.0,755608,3635482
Harry Potter et les reliques de la mort: Partie 2,2011,Tous publics,"['Adventure', 'Drama', 'Fantasy']",130,85,81.0,751004,381011219
The Hobbit: An Unexpected Journey,2012,Tous publics,"['Adventure', 'Fantasy']",169,58,78.0,749671,303003568
Seul sur Mars,2015,Tous publics,"['Adventure', 'Drama', 'Sci-Fi']",144,80,80.0,747955,228433663
Toy Story 3,2010,Tous publics,"['Animation', 'Adventure', 'Comedy']",103,92,83.0,746291,415004880
Iron Man 3,2013,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",130,62,72.0,745332,409013994
Intouchables,2011,Tous publics,"['Biography', 'Comedy', 'Drama']",112,57,85.0,744647,13182281
Thor,2011,Tous publics,"['Action', 'Adventure', 'Fantasy']",115,57,70.0,736799,181030624
Sin City,2005,16,"['Crime', 'Thriller']",124,74,80.0,735307,74103820
Donnie Darko,2001,Tous publics,"['Drama', 'Mystery', 'Sci-Fi']",113,88,80.0,732696,1480006
Captain America: First Avenger,2011,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",124,66,69.0,729431,176654505
Avengers: L'ère d'Ultron,2015,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",141,66,73.0,729403,459005868
300,2006,12,"['Action', 'Drama']",117,52,76.0,726162,210614939
Captain America: Le soldat de l'hiver,2014,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",136,70,77.0,725279,259766572
Le pianiste,2002,Tous publics,"['Biography', 'Drama', 'Music']",150,85,85.0,716057,32572577
Gran Torino,2008,Tous publics,['Drama'],116,72,81.0,712516,148095302
Iron Man 2,2010,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",124,57,70.0,712060,312433331
Very Bad Trip,2009,Tous publics,['Comedy'],100,73,77.0,710240,277322503
Whiplash,2014,Tous publics,"['Drama', 'Music']",106,88,85.0,700365,13092000
Star Wars: Épisode III - La revanche des Sith,2005,Tous publics,"['Action', 'Adventure', 'Fantasy']",140,68,75.0,700010,380262555
Le fabuleux destin d'Amélie Poulain,2001,Tous publics,"['Comedy', 'Romance']",122,69,83.0,695430,33225499
The Grand Budapest hotel,2014,Tous publics,"['Adventure', 'Comedy', 'Crime']",99,88,81.0,694586,59100318
The Revenant,2015,12,"['Action', 'Adventure', 'Drama']",156,76,80.0,692023,183637894
La Cité de Dieu,2002,16,"['Crime', 'Drama']",130,79,86.0,691004,7563397
Black Swan,2010,Tous publics,"['Drama', 'Thriller']",108,79,80.0,690833,106954678
Man of Steel,2013,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",143,55,70.0,683015,291045518
Spider-Man,2002,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",121,73,73.0,679944,403706375
Je suis une légende,2007,Tous publics avec avertissement,"['Action', 'Adventure', 'Drama']",101,65,72.0,678865,256386216
Kill Bill: Volume II,2004,12,"['Action', 'Crime', 'Thriller']",137,83,80.0,674444,66208183
Imitation Game,2014,Tous publics,"['Biography', 'Drama', 'Thriller']",114,73,80.0,674210,91125683
Dragons,2010,Tous publics,"['Animation', 'Action', 'Adventure']",98,75,81.0,657172,217581231
Happiness Therapy,2012,Tous publics,"['Comedy', 'Drama', 'Romance']",122,81,77.0,654729,132092958
X-Men: Days of Future Past,2014,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",132,75,79.0,653864,233921534
Captain America: Civil War,2016,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",147,75,78.0,651428,408084349
Pirates des Caraïbes : Le Secret du coffre maudit,2006,Tous publics,"['Action', 'Adventure', 'Fantasy']",151,53,73.0,648277,423315812
Les indestructibles,2004,Tous publics,"['Animation', 'Action', 'Adventure']",115,90,80.0,648017,261441092
X-Men: Le commencement,2011,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",131,65,77.0,640175,146408305
Harry Potter à l'école des sorciers,2001,Tous publics,"['Adventure', 'Family', 'Fantasy']",152,64,76.0,639137,317575550
Le voyage de Chihiro,2001,Tous publics,"['Animation', 'Adventure', 'Family']",125,96,86.0,636208,10055859
Logan,2017,12 avec avertissement,"['Action', 'Drama', 'Sci-Fi']",137,77,81.0,635213,226277068
District 9,2009,Tous publics,"['Action', 'Sci-Fi', 'Thriller']",112,81,79.0,633392,115646235
Le discours d'un roi,2010,Tous publics,"['Biography', 'Drama', 'History']",118,88,80.0,632194,138797449
Star Wars: Épisode II - L'attaque des clones,2002,Tous publics,"['Action', 'Adventure', 'Fantasy']",142,54,65.0,631004,310675583
Ratatouille,2007,Tous publics,"['Animation', 'Adventure', 'Comedy']",111,96,80.0,630601,206445654
12 Years a Slave,2013,Tous publics avec avertissement,"['Biography', 'Drama', 'History']",134,96,81.0,630461,56671993
Million Dollar Baby,2004,Tous publics,"['Drama', 'Sport']",132,86,81.0,628123,100492203
Skyfall,2012,Tous publics,"['Action', 'Adventure', 'Thriller']",143,81,77.0,624074,304360277
Batman v Superman : L'Aube de la justice,2016,Tous publics avec avertissement,"['Action', 'Adventure', 'Sci-Fi']",152,44,64.0,616844,330360194
The Social Network,2010,Tous publics,"['Biography', 'Drama']",120,95,77.0,614991,96962694
Black Panther,2018,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",134,88,73.0,612984,700059566
Le labyrinthe de Pan,2006,12,"['Drama', 'Fantasy', 'War']",118,98,82.0,611654,37634615
Hunger Games: L'Embrasement,2013,Tous publics avec avertissement,"['Action', 'Adventure', 'Mystery']",146,76,75.0,607370,424668047
Shrek,2001,Tous publics,"['Animation', 'Adventure', 'Comedy']",90,84,78.0,605320,267665011
Vice-versa,2015,Tous publics,"['Animation', 'Adventure', 'Comedy']",95,94,81.0,600239,356461711
La vengeance dans la peau,2007,Tous publics,"['Action', 'Mystery', 'Thriller']",115,85,80.0,600033,227471070
World War Z,2013,12,"['Action', 'Adventure', 'Horror']",116,63,70.0,594397,202359711
Le Hobbit: La Désolation de Smaug,2013,Tous publics,"['Adventure', 'Fantasy']",161,66,78.0,594235,258366855
Suicide Squad,2016,Tous publics,"['Action', 'Adventure', 'Fantasy']",123,40,60.0,591868,325100054
Transformers,2007,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",144,61,70.0,591807,319246193
Edge of Tomorrow,2014,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",113,71,79.0,591242,100206256
Insaisissables,2013,Tous publics,"['Crime', 'Mystery', 'Thriller']",115,50,73.0,589413,117723989
Pirates des Caraïbes : Jusqu'au bout du monde,2007,Tous publics,"['Action', 'Adventure', 'Fantasy']",169,50,71.0,588920,309420425
Prisoners,2013,12,"['Crime', 'Drama', 'Mystery']",153,70,81.0,588728,61002302
Thor: Le monde des ténèbres,2013,Tous publics,"['Action', 'Adventure', 'Fantasy']",112,54,69.0,586967,206362140
Doctor Strange,2016,Tous publics,"['Action', 'Adventure', 'Fantasy']",115,72,75.0,585864,232641920
Kingsman: Services secrets,2014,Tous publics avec avertissement,"['Action', 'Adventure', 'Comedy']",129,60,77.0,583673,128261724
Premier contact,2016,Tous publics,"['Drama', 'Mystery', 'Sci-Fi']",116,81,79.0,582695,100546139
L'étrange histoire de Benjamin Button,2008,Tous publics,"['Drama', 'Fantasy', 'Romance']",166,70,78.0,580503,127509326
Sherlock Holmes,2009,Tous publics,"['Action', 'Adventure', 'Mystery']",128,57,76.0,577541,209028679
Casino Royale,2006,Tous publics avec avertissement,"['Action', 'Adventure', 'Thriller']",144,80,80.0,574938,167445960
L'odyssée de Pi,2012,Tous publics,"['Adventure', 'Drama', 'Fantasy']",127,79,79.0,574007,124987023
Star Trek,2009,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",127,82,79.0,573758,257730019
Thor: Ragnarok,2017,Tous publics,"['Action', 'Adventure', 'Comedy']",130,74,79.0,573171,315058289
Jurassic World,2015,Tous publics avec avertissement,"['Action', 'Adventure', 'Sci-Fi']",124,59,70.0,573155,652270625
Birdman,2014,Tous publics,"['Comedy', 'Drama']",119,87,77.0,571703,42340598
Argo,2012,Tous publics,"['Biography', 'Drama', 'Thriller']",120,86,77.0,566481,136025503
X-Men,2000,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",104,64,74.0,565277,157299717
Ted,2012,Tous publics avec avertissement,['Comedy'],106,62,69.0,565075,218815487
Into the Wild,2007,Tous publics,"['Adventure', 'Biography', 'Drama']",148,73,81.0,565002,18354356
La reine des neiges,2013,Tous publics,"['Animation', 'Adventure', 'Comedy']",102,75,74.0,564866,400738009
Prometheus,2012,12,"['Adventure', 'Mystery', 'Sci-Fi']",124,64,70.0,563954,126477084
Drive,2011,12,"['Crime', 'Drama']",100,78,78.0,563330,35061555
Taken,2008,12,"['Action', 'Thriller']",90,51,78.0,560576,145000989
Ant-Man,2015,Tous publics,"['Action', 'Adventure', 'Comedy']",117,64,73.0,559719,180202163
Les Gardiens de la Galaxie Vol. 2,2017,Tous publics,"['Action', 'Adventure', 'Comedy']",136,67,76.0,557548,389813101
Star Wars: Épisode VIII - Les Derniers Jedi,2017,Tous publics,"['Action', 'Adventure', 'Fantasy']",152,84,70.0,553282,620181382
The Amazing Spider-Man,2012,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",136,66,69.0,553185,262030663
Rogue One: A Star Wars story,2016,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",133,65,78.0,543938,532177324
Harry Potter et la chambre des secrets,2002,Tous publics,"['Adventure', 'Family', 'Fantasy']",161,63,74.0,543011,261988482
Wonder Woman,2017,Tous publics,"['Action', 'Adventure', 'Fantasy']",141,76,74.0,541231,412563408
Dunkerque,2017,Tous publics,"['Action', 'Drama', 'History']",106,94,79.0,541015,188373161
Harry Potter et le prisonnier d'Azkaban,2004,Tous publics,"['Adventure', 'Family', 'Fantasy']",142,82,79.0,540533,249358727
Harry Potter et la coupe de feu,2005,Tous publics avec avertissement,"['Adventure', 'Family', 'Fantasy']",157,81,77.0,537268,290013036
Spider-Man 2,2004,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",127,83,73.0,536743,373585825
Her,2013,Tous publics,"['Drama', 'Romance', 'Sci-Fi']",126,90,80.0,530326,25568251
Looper,2012,Tous publics avec avertissement,"['Action', 'Drama', 'Sci-Fi']",113,84,74.0,529347,66486205
John Wick,2014,12,"['Action', 'Crime', 'Thriller']",101,68,74.0,526756,43037835
Once Upon a Time In Hollywood,2019,12,"['Comedy', 'Drama']",161,83,76.0,526220,142502728
Limitless,2011,Tous publics,"['Sci-Fi', 'Thriller']",105,59,74.0,521940,79249455
Kick-Ass,2010,Tous publics,"['Action', 'Comedy', 'Crime']",117,66,76.0,520469,48071303
Seul au monde,2000,Tous publics,"['Adventure', 'Drama', 'Romance']",143,73,78.0,515370,233632142
SuperGrave,2007,Tous publics,['Comedy'],113,76,76.0,514864,121463226
Bienvenue à Zombieland,2009,Tous publics,"['Adventure', 'Comedy', 'Fantasy']",88,73,76.0,514597,75590286
N'oublie jamais,2004,Tous publics,"['Drama', 'Romance']",123,53,78.0,512769,81001787
Matrix Reloaded,2003,Tous publics,"['Action', 'Sci-Fi']",138,62,72.0,509276,281492479
Ocean's Eleven,2001,Tous publics,"['Crime', 'Thriller']",116,74,77.0,508494,183417150
There Will Be Blood,2007,Tous publics,['Drama'],158,93,82.0,508367,40222514
X-Men 2,2003,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",134,68,74.0,507000,214949694
Shaun of the Dead,2004,12,"['Comedy', 'Horror']",99,76,79.0,506459,13542874
Old Boy,2003,16,"['Action', 'Drama', 'Mystery']",120,77,84.0,506413,707481
21 Jump Street,2012,Tous publics,"['Action', 'Comedy', 'Crime']",109,69,72.0,505454,138447667
Les 8 Salopards,2015,12 avec avertissement,"['Crime', 'Drama', 'Mystery']",168,68,78.0,505242,54117416
Parasite,2019,Tous publics avec avertissement,"['Comedy', 'Drama', 'Thriller']",132,96,86.0,502631,53367844
La mémoire dans la peau,2002,Tous publics,"['Action', 'Mystery', 'Thriller']",119,68,79.0,502522,121661683
Minority Report,2002,Tous publics,"['Action', 'Crime', 'Mystery']",145,80,76.0,502511,132072926
Spider-Man: Homecoming,2017,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",133,73,74.0,500546,334201140
Harry Potter et l'ordre du Phénix,2007,Tous publics,"['Action', 'Adventure', 'Family']",138,71,75.0,500459,292004738
Watchmen: Les gardiens,2009,12,"['Action', 'Drama', 'Mystery']",162,56,76.0,495502,107509799
"Moi, moche et méchant",2010,Tous publics,"['Animation', 'Comedy', 'Crime']",95,72,76.0,494674,251513985
La La Land,2016,Tous publics,"['Comedy', 'Drama', 'Music']",128,94,80.0,494013,151101803
"I, Robot",2004,Tous publics,"['Action', 'Drama', 'Sci-Fi']",115,59,71.0,493931,144801023
Spider-Man 3,2007,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",139,59,62.0,493206,336530303
Blood Diamond,2006,12,"['Adventure', 'Drama', 'Thriller']",143,64,80.0,493088,57366262
La Planète des singes : Les Origines,2011,Tous publics,"['Action', 'Drama', 'Sci-Fi']",105,68,76.0,492438,176760185
Juno,2007,Tous publics,"['Comedy', 'Drama']",96,81,74.0,486120,143495265
Troie,2004,Tous publics,"['Drama', 'History']",163,56,72.0,483137,133378256
Get Out,2017,12,"['Horror', 'Mystery', 'Thriller']",104,85,77.0,480826,176040665
American Psycho,2000,16,"['Comedy', 'Crime', 'Drama']",101,64,76.0,480364,15070285
Oblivion,2013,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",124,54,70.0,480358,89021735
Source Code,2011,Tous publics,"['Action', 'Drama', 'Mystery']",93,74,75.0,479738,54712227
X-Men: L'affrontement final,2006,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",104,58,67.0,478062,234362462
Pirates des Caraïbes : La Fontaine de jouvence,2011,Tous publics,"['Action', 'Adventure', 'Fantasy']",137,45,66.0,475614,241063875
Gatsby le magnifique,2013,Tous publics,"['Drama', 'Romance']",143,55,72.0,470853,144840419
Harry Potter et les reliques de la mort: Partie 1,2010,Tous publics,"['Adventure', 'Family', 'Fantasy']",146,65,77.0,468943,295983305
Le Hobbit: La Bataille des Cinq Armées,2014,Tous publics,"['Adventure', 'Fantasy']",144,59,74.0,467562,255119788
500 jours ensemble,2009,Tous publics,"['Comedy', 'Drama', 'Romance']",95,76,77.0,467488,32391374
Deadpool 2,2018,12,"['Action', 'Adventure', 'Comedy']",119,66,77.0,467361,324591735
Ex Machina,2014,Tous publics avec avertissement,"['Drama', 'Sci-Fi', 'Thriller']",108,78,77.0,466934,25442958
"Crazy, Stupid, Love",2011,Tous publics,"['Comedy', 'Drama', 'Romance']",118,68,74.0,466273,84351197
Harry Potter et le prince de sang-mêlé,2009,Tous publics,"['Action', 'Adventure', 'Family']",153,78,76.0,464209,301959197
X-Men Origins: Wolverine,2009,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",107,40,66.0,462548,179883157
Pacific Rim,2013,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",131,65,69.0,461956,101802906
Star Trek Into Darkness,2013,Tous publics,"['Action', 'Adventure', 'Sci-Fi']",132,72,77.0,460168,228778661
Les Fils de l'homme,2006,Tous publics avec avertissement,"['Adventure', 'Drama', 'Sci-Fi']",109,84,79.0,460088,35552383
Very Bad Trip 2,2011,Tous publics,['Comedy'],102,44,64.0,459151,254464305
Hot Fuzz,2007,Tous publics,"['Action', 'Comedy', 'Mystery']",121,81,78.0,457943,23637265
Le monde de Charlie,2012,Tous publics,"['Drama', 'Romance']",103,67,80.0,455616,17738570
Night Call,2014,Tous publics,"['Crime', 'Drama', 'Thriller']",117,76,79.0,455543,32381218
Zodiac,2007,Tous publics,"['Crime', 'Drama', 'Mystery']",157,78,77.0,453241,33080084
Mission: Impossible - Protocole fantôme,2011,Tous publics,"['Action', 'Adventure', 'Thriller']",132,73,74.0,452723,209397903
Ça,2017,12,['Horror'],135,69,73.0,450520,327481748
Blade Runner 2049,2017,Tous publics avec avertissement,"['Action', 'Drama', 'Mystery']",164,81,80.0,449234,92054159
L'effet papillon,2004,12,"['Drama', 'Sci-Fi', 'Thriller']",113,30,76.0,446976,57938693
Mr. & Mrs. Smith,2005,Tous publics,"['Action', 'Comedy', 'Crime']",120,55,65.0,444993,186336279
American Bluff,2013,Tous publics,"['Crime', 'Drama']",138,90,72.0,443481,150117807
